subset_indices,subset_bitmask,num_features,accuracy,error_hE,penalty_hP,fitness_h
"(6,)",0000001,1,0.6349206349206349,0.3650793650793651,0.01,0.3750793650793651
"(5,)",0000010,1,0.6031746031746031,0.39682539682539686,0.01,0.40682539682539687
"(5, 6)",0000011,2,0.8571428571428571,0.1428571428571429,0.02,0.1628571428571429
"(4,)",0000100,1,0.6507936507936508,0.3492063492063492,0.01,0.3592063492063492
"(4, 6)",0000101,2,0.8571428571428571,0.1428571428571429,0.02,0.1628571428571429
"(4, 5)",0000110,2,0.8095238095238095,0.19047619047619047,0.02,0.21047619047619046
"(4, 5, 6)",0000111,3,0.8888888888888888,0.11111111111111116,0.03,0.14111111111111116
"(3,)",0001000,1,0.7301587301587301,0.2698412698412699,0.01,0.2798412698412699
"(3, 6)",0001001,2,0.9365079365079365,0.06349206349206349,0.02,0.08349206349206349
"(3, 5)",0001010,2,0.8412698412698413,0.15873015873015872,0.02,0.1787301587301587
"(3, 5, 6)",0001011,3,0.9206349206349206,0.07936507936507942,0.03,0.10936507936507942
"(3, 4)",0001100,2,0.7936507936507936,0.2063492063492064,0.02,0.22634920634920638
"(3, 4, 6)",0001101,3,0.9047619047619048,0.09523809523809523,0.03,0.12523809523809523
"(3, 4, 5)",0001110,3,0.8571428571428571,0.1428571428571429,0.03,0.1728571428571429
"(3, 4, 5, 6)",0001111,4,0.9206349206349206,0.07936507936507942,0.04,0.11936507936507942
"(2,)",0010000,1,0.5079365079365079,0.4920634920634921,0.01,0.5020634920634921
"(2, 6)",0010001,2,0.8095238095238095,0.19047619047619047,0.02,0.21047619047619046
"(2, 5)",0010010,2,0.6031746031746031,0.39682539682539686,0.02,0.4168253968253969
"(2, 5, 6)",0010011,3,0.8571428571428571,0.1428571428571429,0.03,0.1728571428571429
"(2, 4)",0010100,2,0.7936507936507936,0.2063492063492064,0.02,0.22634920634920638
"(2, 4, 6)",0010101,3,0.8412698412698413,0.15873015873015872,0.03,0.18873015873015872
"(2, 4, 5)",0010110,3,0.7777777777777778,0.2222222222222222,0.03,0.25222222222222224
"(2, 4, 5, 6)",0010111,4,0.9047619047619048,0.09523809523809523,0.04,0.13523809523809524
"(2, 3)",0011000,2,0.7936507936507936,0.2063492063492064,0.02,0.22634920634920638
"(2, 3, 6)",0011001,3,0.8888888888888888,0.11111111111111116,0.03,0.14111111111111116
"(2, 3, 5)",0011010,3,0.8571428571428571,0.1428571428571429,0.03,0.1728571428571429
"(2, 3, 5, 6)",0011011,4,0.9523809523809523,0.04761904761904767,0.04,0.08761904761904768
"(2, 3, 4)",0011100,3,0.7777777777777778,0.2222222222222222,0.03,0.25222222222222224
"(2, 3, 4, 6)",0011101,4,0.9047619047619048,0.09523809523809523,0.04,0.13523809523809524
"(2, 3, 4, 5)",0011110,4,0.873015873015873,0.12698412698412698,0.04,0.16698412698412698
"(2, 3, 4, 5, 6)",0011111,5,0.9365079365079365,0.06349206349206349,0.05,0.11349206349206349
"(1,)",0100000,1,0.8412698412698413,0.15873015873015872,0.01,0.16873015873015873
"(1, 6)",0100001,2,0.9682539682539683,0.031746031746031744,0.02,0.05174603174603175
"(1, 5)",0100010,2,0.8412698412698413,0.15873015873015872,0.02,0.1787301587301587
"(1, 5, 6)",0100011,3,0.9682539682539683,0.031746031746031744,0.03,0.06174603174603174
"(1, 4)",0100100,2,0.8253968253968254,0.17460317460317465,0.02,0.19460317460317464
"(1, 4, 6)",0100101,3,0.8888888888888888,0.11111111111111116,0.03,0.14111111111111116
"(1, 4, 5)",0100110,3,0.873015873015873,0.12698412698412698,0.03,0.15698412698412698
"(1, 4, 5, 6)",0100111,4,0.8888888888888888,0.11111111111111116,0.04,0.15111111111111117
"(1, 3)",0101000,2,0.8095238095238095,0.19047619047619047,0.02,0.21047619047619046
"(1, 3, 6)",0101001,3,0.9365079365079365,0.06349206349206349,0.03,0.09349206349206349
"(1, 3, 5)",0101010,3,0.8571428571428571,0.1428571428571429,0.03,0.1728571428571429
"(1, 3, 5, 6)",0101011,4,0.9682539682539683,0.031746031746031744,0.04,0.07174603174603175
"(1, 3, 4)",0101100,3,0.7936507936507936,0.2063492063492064,0.03,0.2363492063492064
"(1, 3, 4, 6)",0101101,4,0.9047619047619048,0.09523809523809523,0.04,0.13523809523809524
"(1, 3, 4, 5)",0101110,4,0.873015873015873,0.12698412698412698,0.04,0.16698412698412698
"(1, 3, 4, 5, 6)",0101111,5,0.9365079365079365,0.06349206349206349,0.05,0.11349206349206349
"(1, 2)",0110000,2,0.8095238095238095,0.19047619047619047,0.02,0.21047619047619046
"(1, 2, 6)",0110001,3,0.9047619047619048,0.09523809523809523,0.03,0.12523809523809523
"(1, 2, 5)",0110010,3,0.8412698412698413,0.15873015873015872,0.03,0.18873015873015872
"(1, 2, 5, 6)",0110011,4,0.9206349206349206,0.07936507936507942,0.04,0.11936507936507942
"(1, 2, 4)",0110100,3,0.8095238095238095,0.19047619047619047,0.03,0.22047619047619046
"(1, 2, 4, 6)",0110101,4,0.9206349206349206,0.07936507936507942,0.04,0.11936507936507942
"(1, 2, 4, 5)",0110110,4,0.8571428571428571,0.1428571428571429,0.04,0.1828571428571429
"(1, 2, 4, 5, 6)",0110111,5,0.9047619047619048,0.09523809523809523,0.05,0.14523809523809522
"(1, 2, 3)",0111000,3,0.7936507936507936,0.2063492063492064,0.03,0.2363492063492064
"(1, 2, 3, 6)",0111001,4,0.9206349206349206,0.07936507936507942,0.04,0.11936507936507942
"(1, 2, 3, 5)",0111010,4,0.8412698412698413,0.15873015873015872,0.04,0.19873015873015873
"(1, 2, 3, 5, 6)",0111011,5,0.9365079365079365,0.06349206349206349,0.05,0.11349206349206349
"(1, 2, 3, 4)",0111100,4,0.7936507936507936,0.2063492063492064,0.04,0.2463492063492064
"(1, 2, 3, 4, 6)",0111101,5,0.873015873015873,0.12698412698412698,0.05,0.17698412698412697
"(1, 2, 3, 4, 5)",0111110,5,0.8412698412698413,0.15873015873015872,0.05,0.2087301587301587
"(1, 2, 3, 4, 5, 6)",0111111,6,0.9206349206349206,0.07936507936507942,0.06,0.13936507936507941
"(0,)",1000000,1,0.8253968253968254,0.17460317460317465,0.01,0.18460317460317466
"(0, 6)",1000001,2,0.9365079365079365,0.06349206349206349,0.02,0.08349206349206349
"(0, 5)",1000010,2,0.8253968253968254,0.17460317460317465,0.02,0.19460317460317464
"(0, 5, 6)",1000011,3,0.9523809523809523,0.04761904761904767,0.03,0.07761904761904767
"(0, 4)",1000100,2,0.7777777777777778,0.2222222222222222,0.02,0.2422222222222222
"(0, 4, 6)",1000101,3,0.8888888888888888,0.11111111111111116,0.03,0.14111111111111116
"(0, 4, 5)",1000110,3,0.8412698412698413,0.15873015873015872,0.03,0.18873015873015872
"(0, 4, 5, 6)",1000111,4,0.873015873015873,0.12698412698412698,0.04,0.16698412698412698
"(0, 3)",1001000,2,0.8095238095238095,0.19047619047619047,0.02,0.21047619047619046
"(0, 3, 6)",1001001,3,0.9365079365079365,0.06349206349206349,0.03,0.09349206349206349
"(0, 3, 5)",1001010,3,0.8571428571428571,0.1428571428571429,0.03,0.1728571428571429
"(0, 3, 5, 6)",1001011,4,0.9365079365079365,0.06349206349206349,0.04,0.1034920634920635
"(0, 3, 4)",1001100,3,0.7936507936507936,0.2063492063492064,0.03,0.2363492063492064
"(0, 3, 4, 6)",1001101,4,0.9206349206349206,0.07936507936507942,0.04,0.11936507936507942
"(0, 3, 4, 5)",1001110,4,0.8571428571428571,0.1428571428571429,0.04,0.1828571428571429
"(0, 3, 4, 5, 6)",1001111,5,0.9206349206349206,0.07936507936507942,0.05,0.1293650793650794
"(0, 2)",1010000,2,0.8095238095238095,0.19047619047619047,0.02,0.21047619047619046
"(0, 2, 6)",1010001,3,0.9047619047619048,0.09523809523809523,0.03,0.12523809523809523
"(0, 2, 5)",1010010,3,0.8095238095238095,0.19047619047619047,0.03,0.22047619047619046
"(0, 2, 5, 6)",1010011,4,0.8888888888888888,0.11111111111111116,0.04,0.15111111111111117
"(0, 2, 4)",1010100,3,0.7936507936507936,0.2063492063492064,0.03,0.2363492063492064
"(0, 2, 4, 6)",1010101,4,0.9206349206349206,0.07936507936507942,0.04,0.11936507936507942
"(0, 2, 4, 5)",1010110,4,0.8412698412698413,0.15873015873015872,0.04,0.19873015873015873
"(0, 2, 4, 5, 6)",1010111,5,0.9206349206349206,0.07936507936507942,0.05,0.1293650793650794
"(0, 2, 3)",1011000,3,0.7936507936507936,0.2063492063492064,0.03,0.2363492063492064
"(0, 2, 3, 6)",1011001,4,0.8888888888888888,0.11111111111111116,0.04,0.15111111111111117
"(0, 2, 3, 5)",1011010,4,0.8571428571428571,0.1428571428571429,0.04,0.1828571428571429
"(0, 2, 3, 5, 6)",1011011,5,0.9365079365079365,0.06349206349206349,0.05,0.11349206349206349
"(0, 2, 3, 4)",1011100,4,0.7936507936507936,0.2063492063492064,0.04,0.2463492063492064
"(0, 2, 3, 4, 6)",1011101,5,0.873015873015873,0.12698412698412698,0.05,0.17698412698412697
"(0, 2, 3, 4, 5)",1011110,5,0.8412698412698413,0.15873015873015872,0.05,0.2087301587301587
"(0, 2, 3, 4, 5, 6)",1011111,6,0.9206349206349206,0.07936507936507942,0.06,0.13936507936507941
"(0, 1)",1100000,2,0.8253968253968254,0.17460317460317465,0.02,0.19460317460317464
"(0, 1, 6)",1100001,3,0.9523809523809523,0.04761904761904767,0.03,0.07761904761904767
"(0, 1, 5)",1100010,3,0.8412698412698413,0.15873015873015872,0.03,0.18873015873015872
"(0, 1, 5, 6)",1100011,4,0.9365079365079365,0.06349206349206349,0.04,0.1034920634920635
"(0, 1, 4)",1100100,3,0.8095238095238095,0.19047619047619047,0.03,0.22047619047619046
"(0, 1, 4, 6)",1100101,4,0.8888888888888888,0.11111111111111116,0.04,0.15111111111111117
"(0, 1, 4, 5)",1100110,4,0.8571428571428571,0.1428571428571429,0.04,0.1828571428571429
"(0, 1, 4, 5, 6)",1100111,5,0.8888888888888888,0.11111111111111116,0.05,0.16111111111111115
"(0, 1, 3)",1101000,3,0.7936507936507936,0.2063492063492064,0.03,0.2363492063492064
"(0, 1, 3, 6)",1101001,4,0.9206349206349206,0.07936507936507942,0.04,0.11936507936507942
"(0, 1, 3, 5)",1101010,4,0.8571428571428571,0.1428571428571429,0.04,0.1828571428571429
"(0, 1, 3, 5, 6)",1101011,5,0.9682539682539683,0.031746031746031744,0.05,0.08174603174603175
"(0, 1, 3, 4)",1101100,4,0.8253968253968254,0.17460317460317465,0.04,0.21460317460317466
"(0, 1, 3, 4, 6)",1101101,5,0.9047619047619048,0.09523809523809523,0.05,0.14523809523809522
"(0, 1, 3, 4, 5)",1101110,5,0.8571428571428571,0.1428571428571429,0.05,0.1928571428571429
"(0, 1, 3, 4, 5, 6)",1101111,6,0.9047619047619048,0.09523809523809523,0.06,0.15523809523809523
"(0, 1, 2)",1110000,3,0.8253968253968254,0.17460317460317465,0.03,0.20460317460317465
"(0, 1, 2, 6)",1110001,4,0.9206349206349206,0.07936507936507942,0.04,0.11936507936507942
"(0, 1, 2, 5)",1110010,4,0.8412698412698413,0.15873015873015872,0.04,0.19873015873015873
"(0, 1, 2, 5, 6)",1110011,5,0.9206349206349206,0.07936507936507942,0.05,0.1293650793650794
"(0, 1, 2, 4)",1110100,4,0.8253968253968254,0.17460317460317465,0.04,0.21460317460317466
"(0, 1, 2, 4, 6)",1110101,5,0.8253968253968254,0.17460317460317465,0.05,0.22460317460317464
"(0, 1, 2, 4, 5)",1110110,5,0.8412698412698413,0.15873015873015872,0.05,0.2087301587301587
"(0, 1, 2, 4, 5, 6)",1110111,6,0.8888888888888888,0.11111111111111116,0.06,0.17111111111111116
"(0, 1, 2, 3)",1111000,4,0.8095238095238095,0.19047619047619047,0.04,0.23047619047619047
"(0, 1, 2, 3, 6)",1111001,5,0.8888888888888888,0.11111111111111116,0.05,0.16111111111111115
"(0, 1, 2, 3, 5)",1111010,5,0.8412698412698413,0.15873015873015872,0.05,0.2087301587301587
"(0, 1, 2, 3, 5, 6)",1111011,6,0.9206349206349206,0.07936507936507942,0.06,0.13936507936507941
"(0, 1, 2, 3, 4)",1111100,5,0.8095238095238095,0.19047619047619047,0.05,0.24047619047619045
"(0, 1, 2, 3, 4, 6)",1111101,6,0.8571428571428571,0.1428571428571429,0.06,0.2028571428571429
"(0, 1, 2, 3, 4, 5)",1111110,6,0.8412698412698413,0.15873015873015872,0.06,0.21873015873015872
"(0, 1, 2, 3, 4, 5, 6)",1111111,7,0.9206349206349206,0.07936507936507942,0.07,0.14936507936507942
